payer,filename,md5
Cigna,Cigna_MOL.TS_.309.A_FRDA_Friedreichs_Ataxia_Genetic_Testing_eff01.01.2025_pub09.10.2024_1.pdf,f19bb745133ef61fb8f71068c1eadf28
Cigna,Cigna_MOL.TS_.248.A_Breast_Cancer_Index_Coverage_eff01.01.2025_pub09.10.2024_1.pdf,e3d37fed9b814cd78e63ff70febce3b3
Cigna,Cigna_MOL.TS_.227.A_TAAD_Panel_Testing_eff01.01.2025_pub09.10.2024_1.pdf,a2c57457574dde5538dd8329a861c583
Cigna,Cigna_MOL.CU_.110.A_Genetic_Testing_for_Carrier_Status_eff01.01.2025_09.12.2024_0.pdf,0e01cbfa9a4721f66408ce4174c30cd4
Cigna,Cigna_MOL.TS_.197.A_Lynch_Syndrome_Genetic_Testing_eff01.01.2025_pub09.10.2024_1.pdf,9a3a6313cd9f25a9b340bfd02a6a5222
Cigna,Cigna_MOL.TS_.150A_CMA_for_Developmental_Disorders_and_Prenatal_Diagnosis_eff01.01.2025_pub09.10.2024_1.pdf,dd74cd39fca15b7b0888b16ce1da2014
Cigna,Cigna_MOL.TS_.215.A_PCA3_Testing_Prostate_Cancer_eff01.01.2025_pub09.09.2024_1.pdf,5e7c1f0778a38805e7a2be6cf952af58
Cigna,Cigna_MOL.CU_.291.A_Genetic_Testing_for_Known_Familial_Mutations_eff01.01.2025_09.10.2024_1.pdf,8244afb8cc3cd93824415438d0276e5c
Cigna,Cigna_MOL.TS_.344.A_Chromosomal_Microarray_Solid_Tumors_eff01.01.2025_pub09.11.2024_0.pdf,49b51c0399e5563339f32a9f24f20641
Cigna,Cigna_MOL.TS_.126.A_Angelman_eff01.01.2025_pub09.10.2024_1.pdf,a12c87a8a1f496caa79269615939922a
Cigna,Cigna_MOL.TS_.162.A_EOFAD_Genetic_Testing_eff01.01.2025_09.10.2024_1.pdf,3ae3a9206f784653f7a76f753588bf4d
Cigna,Cigna_MOL.TS_.306.C_Whole_Genome_Sequencing_Cigna_eff01.01.2025_pub09.10.2024.pdf,36bb5264dda1b2027dcdfdd32a714204
Cigna,Cigna_MOL.TS_.287.A_Hereditary_Pancreatitis_eff01.01.2025_09.10.2024_0.pdf,129edfc2e4309842ece61a0e6d532fdc
Cigna,Cigna_MOL.TS_.183.A_Hemochromatosis_Testing_eff01.01.2025_09.10.2024_1.pdf,54b70f95a545084550fb14b05f8c5ca7
Cigna,Cigna_MOL.TS_.290.A_FSHMD_Facioscapulohumeral_Muscular_Dystrophy_eff01.01.2025_09.10.2024_1.pdf,46fb75c897a1dbe8fa1f0dce2e610aa8
Cigna,Cigna_MOL.CU_.116.A_Genetic_Testing_via_Multi-Gene_Panels_eff01.01.2025_09.12.2024_0.pdf,64a15be018070bc7e60799cb2718e58b
Cigna,Cigna_MOL.TS_.240.A_BCR-ABL_Negative_MPN_eff01.01.2025_pub09.10.2024_1.pdf,4e471414be6b53cae43fe5fea0a7bcb5
Cigna,Cigna_MOL.TS_.310.A_Ataxia_Hereditary_Ataxia_Multigene_Panel_Testing_eff01.01.2025_pub09.11.2024_0.pdf,1e43e167dba486e633e21583259a81f9
Cigna,Cigna_MOL.TS_.144.A_CADASIL_Testing_eff01.01.2025_pub09.10.2024_1.pdf,7a837392b0614102a143694772c9b244
Cigna,Cigna_MOL.CU_.112.A_Genetic_Testing_for_Prenatal_Screening_and_Diagnostic_Testing_eff01.01.2025_09.12.2024_0.pdf,d68a0f5a769d84cc5743493856cf643d
Cigna,Cigna_MOL.CU_.115.A_Genetic_Testing_to_Predict_Disease_Risk_eff01.01.2025_09.12.2024_0.pdf,f77c2ba1f5eceda651e1d71fb9c005f1
Cigna,Cigna_MOL.TS_.209.A_Non-Invasive_Prenatal_Testing__Broad_Coverage_eff01.01.2025_pub09.09.2024_0.pdf,4df2062bdfa3216f13a0843e52f946d3
Cigna,Cigna_MOL.TS_.344.A Chromosomal Microarray for Solid Tumors_V2.0.2025_eff07.01.2025_pub04.07.2025_upd06.02.2025.pdf,5d013ddfade368951e1251394f141a31
Cigna,Cigna_MOL.TS_.273.A_Hearing_Loss_eff01.01.2025_09.12.2024_0.pdf,7682b5de5f3ac2b04e21ca6e7790870a
Cigna,Cigna_MOL.TS_.217.A_Prader-Willi_Syndrome_Analysis_eff01.01.2025_pub09.10.2024_1.pdf,a90cea87045f1379b300fc5cdae25a37
Cigna,Cigna_MOL.TS_.238.A_BRCA_Analysis_eff01.01.2025_pub09.10.2024_1.pdf,626eac4d60df057ea93ece78f8cc3dfc
Cigna,Cigna_MOL.TS_.266.A_Mitochondrial_Genetic_Testing_eff01.01.2025_pub09.12.2024_0.pdf,05d11fa18fd2f79d7752a553947c81dc
Cigna,Cigna_MOL.CU_.292.A_Genetic_Testing_for_Variants_of_Uncertain_Clinical_Significance_eff01.01.2025_09.10.2024_1.pdf,62303e0548f607f9826eaf511f4680ea
Cigna,Cigna_MOL.TS_.148.A_CMT_Panel_Testing_eff01.01.2025_pub09.10.2024_0.pdf,fa080cad84e1ee37243cc1a00c8607b8
Cigna,Cigna_MOL.CU_.256.A_Confirmatory_Genetic_Testing_eff01.01.2025_pub09.10.2024_1.pdf,ad0f1d4ff5d23535b2ac86f66e8f4bd9
Cigna,Cigna_MOL.CU_.246.A_Germline_Test_After_Somatic_Testing_eff01.01.2025_pub09.10.2024_upd11.18.24_1.pdf,53a4d4077f2da715e1953d9584eae5ae
Cigna,Cigna_MOL.TS_.267.A_Ehlers-Danlos_Syndrome_Genetic_Testing_eff01.01.2025_09.12.2024_0.pdf,e92f70f171fcdf22aa7f2df3cfac5780
Cigna,Cigna_MOL.TS_.206.A_MUTYH-Associated_Polyposis_Genetic_eff01.01.2025_pub09.10.2024_0.pdf,5d18f6f55342227cde39e87366e48528
Cigna,Cigna_MOL.TS_.359.A_IBD_Biomarker_testing_for_inflammatory_bowel_disease_A_eff01.01.2025_pub09.11.2024_0.pdf,479a27781ef75f521fb65fe93392141f
Cigna,Cigna_MOL.CU_.117.A Investigational & Experimental Mol Gen Testing_eff01.01.2025_pub09.12.2024_upd11.18.2024_0.pdf,73398d6bc58c5274ad4f10e7c7def699
Cigna,Cigna_MOL.TS_.302.A_SPRED1_Legius_Syndrome_Genetic_Testing_eff01.01.2025_pub09.10.2024_1.pdf,8c856dd132280f9f46289991d7e30f24
Cigna,Cigna_MOL.CU_.113.A_Genetic_Testing_for_the_Screening_Diagnosis_and_Monitoring_of_Cancer_eff01.01.2025_09.12.2024_0.pdf,01450a1d59b894b8ff7f5fdddc323cfb
Cigna,Cigna_MOL.TS_.251.A_PALB2_Genetic_Testing_eff01.01.2025_pub09.10.2024_1.pdf,2c7426f5a7c6eabe7d9b19ab756f8a88
Cigna,Cigna_MOL.TS_.230.C_Somatic_Mutation_Testing_Cigna_eff01.01.2025_pub09.20.2024_upd11.18.2024.pdf,38111d526fd7e5fd8a76a816ab52e297
Cigna,Cigna_MOL.CU_.119.A_Preimplantation_Genetic_Diagnosis_eff01.01.2025_pub09.10.2024_1.pdf,35e92dddac0175699f20e8ac56693543
Cigna,Cigna_MOL.TS_.360.A_IBMFS_Inherited_Bone_Marrow_Failure_Syndrome_Testing_Panel_eff01.01.2025_pub09.11.2024_0.pdf,3a3635b3c2926cba1b6e7359c2b06096
Cigna,Cigna_MOL.TS_.235.C_Whole_Exome_Sequencing_Cigna_eff01.01.2025_pub09.20.2024.pdf,ad2eb3a750b767e32ff847032f0e8e03
Cigna,Cigna_MOL.TS_.182.A_Hereditary_Cancer_Syndrome_Panels_eff01.01.2025_pub09.10.2024_upd11.18.2024_1.pdf,f86edbfcfebab5398e047bdf691dca25
Cigna,Cigna_MOL.TS_.276.A_POLG_eff01.01.2025_pub09.12.2024_0.pdf,d68f4b839c21935b5716ca7dbf24f4b5
Cigna,Cigna_MOL.CU_.111.A_Genetic_Testing_for_Non-Medical_Purposes_eff01.01.2025_09.12.2024_0.pdf,bcd33b7fc6f3d9c65e34d9efbd84d92f
Cigna,Cigna_MOL.TS_.232.A_VeriStrat_Testing_eff01.01.2025_pub09.10.2024_1.pdf,0df3c01884810321ef0636845d8fe3d0
Cigna,Cigna_MOL.TS_.158.A_Cystic_Fibrosis_eff01.01.2025_pub09.10.2024_1.pdf,e5206667ddcceccedee5034c63f3eafa
Cigna,Cigna_MOL.TS_.223.A_PHTS_eff01.01.2025_pub09.10.2024_1.pdf,f8782b112e275d9930e4b4b6b3808eb1
Cigna,Cigna_MOL.TS_.202.A_Marfan_Syndrome_Genetic_Testing_eff01.01.2025_pub09.10.2024_0.pdf,6d7554732a916ed15c8d075c37431c31
Cigna,Cigna_MOL.TS_.269.A_Autism_eff01.01.2025_pub09.12.2024_0.pdf,294644a4d7e140dd752aaa942f412236
Cigna,Cigna_MOL.CU_.118.A_Pharmacogenomic_Test_Drug_Toxicity&Resp_eff01.01.2025_pub09.10.2024_upd11.18.2024_0.pdf,a381da0ec6f5ada67a7efbac56053522
Cigna,Cigna_MOL.TS_.193.A_li_fraumeni_eff01.01.2025_pub09.10.2024_1.pdf,85f13aabc485ef041f04b232b2cbe275
Cigna,Cigna_MOL.TS_.225.A_Spinal_Muscular_Atrophy_eff01.01.2025_pub09.10.2024_1.pdf,239ad766cd988f1b720688f840add775
Cigna,Cigna_Carrier_Screening_Panels_Cigna_V1.0.2025_Eff02.10.2025_pub02.07.2025_0.pdf,19f3f45b1ac0c44ca0b7ed485235739e
Cigna,Cigna_MOL.TS_.228.A_Tissue_of_Origin_Testing_eff01.01.2025_pub09.10.2024_1.pdf,9e165221abc8f304ea8da4072698746a
Cigna,Cigna_MOL.TS_.268.A_HCTD_Policy_eff01.01.2025_pub09.12.2024_0.pdf,38f5b50464df6000c802b594cbed9376
Cigna,Cigna_MOL.TS_.324.A_CHARGE_CHARGE_Syndrome_Genetic_Testing_eff01.01.2025_pub09.11.2024_0.pdf,721ac3e250433f7b08c2ad9ce656a1b5
Cigna,Cigna_MOL.TS_.410.A_Cardiomyopathy_and_Arrhythmia_eff01.01.2025_pub09.11.2024_0.pdf,093fe0a85b7fc879daeacc5c158af9f5
Cigna,Cigna_MOL.TS_.288.A_Limb_Girdle_Muscular_Dystrophy_eff01.01.2025_pub09.10.2024_1.pdf,ae77c0c8dfa46d7c510335168080063e
Cigna,Cigna_MOL.TS_.130.A_Ataxia-Telangiectasia_eff01.01.2025_pub09.10.2024_1.pdf,e86aba32affb43119487cdff01e49f30
Cigna,Cigna_MOL.TS_.168.A_Familial_Adenomatous_Polyposis_Testing_eff01.01.2025_09.10.2024_1.pdf,d13a9e20a6d1fbd46d0f61c11843cb88
Cigna,Cigna_MOL.CU_.109.A_Genetic_Testing_for_Cancer_Susceptibility_and_Hereditary_Cancer_Syndromes_eff01.01.2025_09.12.2024_0.pdf,9c8d74bb868ad55894a164f9152769a3
Cigna,Cigna_MOL.TS_.301.A_ANF1_Neurofibromatosis_Type_1_Genetic_Testing_eff01.01.2025_pub09.10.2024_1.pdf,fcf74058cb7edfb6104673761ca1e438
United Healthcare,United Healthcare_preimplantation-genetic-testing.pdf,ba5c767229f4e4120c1cfd3e787e5f5b
United Healthcare,United Healthcare_pharmacogenetic-testing.pdf,b6576d5f30f7e9519cb7acf546710c8d
United Healthcare,United Healthcare_molecular-oncology-testing-for-cancer.pdf,e9b2f948b39d675ac181772318a45966
United Healthcare,United Healthcare_cell-free-fetal-dna-testing.pdf,a5626c765e3950c31ab778b1087b6daa
United Healthcare,United Healthcare_fda-companion-diagnostic-testing.pdf,ec18463ddbf0e61da8b7f9a09edbf7fb
United Healthcare,United Healthcare_genetic-testing-cardiac-disease.pdf,f77e783d8f23d96b1932bc0f7cf7e8c7
United Healthcare,United Healthcare_carrier-testing-for-genetic-diseases.pdf,e4ba24bf5062d995a93a2ef155437c1b
United Healthcare,United Healthcare_molecular-oncology-hematologic-cancer-diagnosis.pdf,8834c910b0dfed6badd9e49490deaec9
United Healthcare,United Healthcare_genetic-testing-hereditary-cancer.pdf,c69485372670ce1d12aa8f61d83a06fd
United Healthcare,United Healthcare_genetic-testing-neuromuscular-disorders.pdf,4dec1a815b8ecffdf00d34ad7f04836f
United Healthcare,United Healthcare_whole-exome-and-whole-genome-sequencing.pdf,4fadf6b3ca9d4d08131cb31365e3aa7d
United Healthcare,United Healthcare_chromosome-microarray-testing.pdf,8a7d5f974648c666b635eae9e03277e7
Aetna,"Aetna_Breast and Ovarian Cancer Susceptibility Gene Testing, Prophylactic Mastectomy, and Prophylactic Oophorectomy - Medical Clinical Policy Bulletins.pdf",https://www.aetna.com/cpb/medical/data/100_199/0140.html
Aetna,Aetna_Celiac Disease Laboratory Testing - Medical Clinical Policy Bulletins.pdf,https://www.aetna.com/cpb/medical/data/200_299/0227.html
Aetna,Aetna_Genetic Testing - Medical Clinical Policy Bulletins.pdf,https://www.aetna.com/cpb/medical/data/300_399/0358.html
Aetna,Aetna_Hematopoietic Cell Transplantation for Inherited Metabolic Disorders and Genetic Diseases - Medical Clinical Policy Bulletins.pdf,https://www.aetna.com/cpb/medical/data/500_599/0516.html
Aetna,Aetna_Invasive Prenatal Diagnosis of Genetic Diseases - Medical Clinical Policy Bulletins.pdf,https://www.aetna.com/cpb/medical/data/700_799/0715.html
Aetna,Aetna_Pharmacogenetic and Pharmacodynamic Testing - Medical Clinical Policy Bulletins.pdf,https://www.aetna.com/cpb/medical/data/200_299/0282.html
